,Country name,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Freedom 2020
0,Switzerland,0.66557,0.58557,0.620070576667786,0.66,0.5720000000000001,0.62895447
1,Iceland,0.6287699999999999,0.56624,0.6271626353263849,0.677,0.591,0.661980748
2,Denmark,0.6493800000000001,0.5794100000000001,0.626006722450256,0.6829999999999999,0.5920000000000001,0.665039897
3,Norway,0.66973,0.59609,0.635422587394714,0.6859999999999999,0.603,0.670200884
4,Canada,0.63297,0.5737,0.611100912094116,0.653,0.584,0.644028127
5,Finland,0.64169,0.57104,0.6179508566856379,0.6809999999999999,0.596,0.66231674
6,Netherlands,0.6157600000000001,0.55211,0.5853844881057739,0.638,0.557,0.61362648
7,Sweden,0.6598,0.58218,0.612924098968506,0.659,0.574,0.6502977010000001
8,New Zealand,0.6393800000000001,0.5814699999999999,0.6140621304512021,0.669,0.585,0.646789908
9,Australia,0.6512399999999999,0.5683699999999999,0.601607382297516,0.647,0.557,0.621877193
10,Israel,0.41318999999999995,0.36432,0.40598860383033797,0.5329999999999999,0.371,0.42069947700000004
11,Costa Rica,0.63376,0.55225,0.580131649971008,0.632,0.5579999999999999,0.6450177429999999
12,Austria,0.62433,0.54355,0.567766189575195,0.617,0.532,0.6033688779999999
13,Mexico,0.48181,0.37709000000000004,0.412730008363724,0.479,0.433,0.553892553
14,United States,0.54604,0.48163,0.505740523338318,0.547,0.45399999999999996,0.534608245
15,Brazil,0.49049,0.40425,0.437453746795654,0.493,0.39,0.483292729
16,Luxembourg,0.61583,0.5487,0.59662789106369,0.632,0.526,0.610137045
17,Ireland,0.6177699999999999,0.54008,0.5731103420257571,0.614,0.516,0.587779939
18,Belgium,0.5845,0.51354,0.5397707223892211,0.583,0.473,0.499805421
19,United Arab Emirates,0.64157,0.56215,0.60834527015686,0.284,0.598,0.652936101
20,United Kingdom,0.59625,0.50036,0.508190035820007,0.46399999999999997,0.45,0.525168657
21,Oman,0.63274,0.34941500000000003,0.331093579530716,0.2985,0.302,0.39844293900000005
22,Venezuela,0.42908,0.19847,0.15399712324142498,0.133,0.154,0.271717221
23,Singapore,0.54252,0.4877,0.549840569496155,0.631,0.556,0.635317206
24,Panama,0.5421,0.48927,0.550026834011078,0.597,0.516,0.57984978
25,Germany,0.6147699999999999,0.53466,0.562511384487152,0.586,0.495,0.564274132
26,Chile,0.44132,0.37789,0.376895278692245,0.431,0.35700000000000004,0.41748222700000004
27,Qatar,0.6404,0.56679,0.604130983352661,0.654,0.555,0.46576656400000005
28,France,0.55011,0.46562,0.470222115516663,0.52,0.436,0.5140509010000001
29,Argentina,0.44974,0.42283999999999994,0.49451920390129106,0.57,0.47100000000000003,0.520840347
30,Czech Republic,0.46363999999999994,0.41418,0.49094617366790794,0.5429999999999999,0.457,0.505744576
31,Uruguay,0.6036199999999999,0.54388,0.5793922543525699,0.625,0.523,0.59426707
32,Colombia,0.53466,0.44735,0.47748741507530196,0.531,0.47,0.526890039
33,Thailand,0.5566399999999999,0.49553,0.580200731754303,0.637,0.557,0.609449804
