,Country name,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Log GDP per capita,Explained by: Perceptions of corruption,Explained by: Social support,Score,year,code
0,Finland,0.66231674,0.159670442,0.961271405,1.285189509,0.477857262,1.499525905,7.808700085,2020,FIN
1,Denmark,0.665039897,0.24279339600000002,0.979332566,1.326948524,0.49526032799999997,1.5034492019999999,7.645599842,2020,DNK
2,Switzerland,0.62895447,0.269055754,1.040533185,1.39077425,0.407945901,1.4724034069999998,7.559899807000001,2020,CHE
3,Iceland,0.661980748,0.362330228,1.000843406,1.326501608,0.14454077199999998,1.5475674869999998,7.504499912000001,2020,ISL
4,Norway,0.670200884,0.287985086,1.0080718990000002,1.42420733,0.43410056799999996,1.4951725009999999,7.487999916000001,2020,NOR
5,Netherlands,0.61362648,0.336317569,0.9756753440000001,1.338946342,0.368569762,1.463645935,7.448900223,2020,NLD
6,Sweden,0.6502977010000001,0.272827893,0.9864704609999999,1.322235227,0.442066371,1.4333477019999998,7.353499889,2020,SWE
7,New Zealand,0.646789908,0.325726211,1.008138299,1.242317915,0.46126827600000003,1.48721838,7.2996001239999995,2020,NZL
8,Austria,0.6033688779999999,0.255509764,1.000933528,1.317285538,0.28125613899999996,1.437444925,7.294199944,2020,AUT
9,Luxembourg,0.610137045,0.19595392,0.986442685,1.536676049,0.367041469,1.3875284190000001,7.2375001910000005,2020,LUX
10,Canada,0.644028127,0.28152892,1.022501945,1.301647663,0.35170185600000003,1.4353919030000002,7.23210001,2020,CAN
11,Australia,0.621877193,0.324973613,1.022607684,1.310396433,0.335996419,1.477146268,7.222799778,2020,AUS
12,United Kingdom,0.525168657,0.37343344100000003,0.97570008,1.273061037,0.322601646,1.457844973,7.164500237,2020,GBR
13,Israel,0.42069947700000004,0.26686179600000004,1.008052945,1.216463685,0.09989845,1.4032567740000002,7.128600121,2020,ISR
14,Costa Rica,0.6450177429999999,0.131266311,0.9396353359999999,0.981107712,0.096362092,1.374853611,7.121399879,2020,CRI
15,Ireland,0.587779939,0.295426995,0.975670695,1.446886778,0.37343326200000004,1.470596433,7.093699932000001,2020,IRL
16,Germany,0.564274132,0.252037704,0.9721148009999999,1.314184546,0.309362292,1.3685437440000001,7.075799942000001,2020,DEU
17,United States,0.534608245,0.298143059,0.831618011,1.37398684,0.152284741,1.4047867059999999,6.939599991000001,2020,USA
18,Czech Republic,0.505744576,0.046325929,0.89456445,1.212322354,0.049803223,1.40528667,6.9109001160000005,2020,CZE
19,Belgium,0.499805421,0.146966159,0.964901149,1.2958427670000001,0.208724052,1.3986775880000002,6.863500117999999,2020,BEL
20,United Arab Emirates,0.652936101,0.28065598,0.787814438,1.4310864209999998,0.220213518,1.251170993,6.790800095,2020,ARE
21,Malta,0.633239031,0.341180831,0.9720420240000001,1.2525132890000001,0.17886407699999998,1.442956924,6.772799968999999,2020,MLT
22,France,0.5140509010000001,0.112607703,1.029714227,1.268129349,0.227303237,1.458839178,6.663799762999999,2020,FRA
23,Mexico,0.553892553,0.083094485,0.831601024,1.024387479,0.083133668,1.226333499,6.465000152999999,2020,MEX
24,Taiwan Province of China,0.44940438899999996,0.150598705,0.8784379959999999,1.3274705409999998,0.131516352,1.357760668,6.45539999,2020,TWN
25,Uruguay,0.59426707,0.132143691,0.856928885,1.071000457,0.19342507399999997,1.425081134,6.440100192999999,2020,URY
26,Saudi Arabia,0.548477471,0.087440684,0.759818137,1.334328532,0.163322315,1.309950113,6.406499863,2020,SAU
27,Spain,0.425983816,0.16530548,1.051343083,1.230535269,0.109579779,1.421099186,6.4008998870000005,2020,ESP
28,Guatemala,0.613146722,0.170611665,0.705952585,0.7538157109999999,0.09836030000000001,1.174267054,6.398900032,2020,GTM
29,Italy,0.321305573,0.17026621100000003,1.0225049259999999,1.236396074,0.040145598,1.3472959999999998,6.38740015,2020,ITA
30,Singapore,0.635317206,0.21877090600000001,1.137814283,1.519580126,0.533162236,1.39545691,6.377099991000001,2020,SGP
31,Brazil,0.483292729,0.131674588,0.766119063,0.952679873,0.106518604,1.363464117,6.375599861,2020,BRA
32,Slovenia,0.646700144,0.145701498,0.932548046,1.208652496,0.076516323,1.464677691,6.363399982000001,2020,SVN
33,El Salvador,0.5240439179999999,0.11893630000000001,0.752730012,0.748940408,0.11703035199999999,1.149397612,6.34829998,2020,SLV
34,Kosovo,0.557280421,0.325286865,0.672709167,0.8404813409999999,0.008559024,1.183962822,6.325200081,2020,XKX
35,Panama,0.57984978,0.097207308,0.878546536,1.097667813,0.054230525999999994,1.3761492969999998,6.304800033999999,2020,PAN
36,Slovakia,0.423542529,0.11672977400000001,0.853465259,1.194837689,0.011291441000000001,1.424331188,6.280600071,2020,SVK
37,Uzbekistan,0.6932703259999999,0.36331102299999996,0.716703713,0.6966529490000001,0.280260265,1.4340200419999998,6.257599831,2020,UZB
38,Chile,0.41748222700000004,0.155579001,0.889260828,1.096992493,0.06284935,1.323286891,6.228499889,2020,CHL
39,Bahrain,0.610399902,0.287453711,0.838836372,1.296692252,0.12669725699999998,1.31532371,6.227300167,2020,BHR
40,Lithuania,0.42046079,0.053691040999999995,0.795421183,1.193559647,0.081350274,1.4328657390000001,6.215499877999999,2020,LTU
41,Trinidad and Tobago,0.55293113,0.199358255,0.658828557,1.167641521,0.015078396,1.407326221,6.1918997760000005,2020,TTO
42,Poland,0.557903528,0.06337424400000001,0.868038476,1.16922915,0.160541251,1.310399771,6.1862998010000005,2020,POL
43,Colombia,0.526890039,0.092374094,0.8100201490000001,0.93220371,0.04584837,1.33445096,6.163400172999999,2020,COL
44,Cyprus,0.45938587200000003,0.227932334,1.0261245970000001,1.21279943,0.051207144,1.149170756,6.15899992,2020,CYP
45,Nicaragua,0.560117304,0.212871477,0.803093255,0.620033145,0.174084574,1.27081275,6.13710022,2020,NIC
46,Romania,0.534852326,0.068181619,0.79229486,1.1204016209999998,0.0008295689999999999,1.1944381000000002,6.123700142000001,2020,ROU
47,Kuwait,0.5702614189999999,0.132751092,0.776468933,1.424833655,0.112814933,1.244779825,6.102099895,2020,KWT
48,Mauritius,0.590838134,0.18689455100000002,0.7633894090000001,1.07366395,0.084088229,1.3956668380000001,6.101299762999999,2020,MUS
49,Kazakhstan,0.497432142,0.15371379300000002,0.6987889409999999,1.122594237,0.11046368599999999,1.453267694,6.0578999520000005,2020,KAZ
50,Estonia,0.576664805,0.12513674800000002,0.842615008,1.192441225,0.201766819,1.453232527,6.0218000410000005,2020,EST
51,Philippines,0.6219151620000001,0.12926021199999999,0.602189481,0.7751206759999999,0.13038572699999998,1.245381713,6.006000042,2020,PHL
52,Hungary,0.386401802,0.070491239,0.806793869,1.1643071170000001,0.027548173,1.4230093959999999,6.000400066,2020,HUN
53,Thailand,0.609449804,0.376709014,0.7938558459999999,1.007029295,0.031837862,1.3475195169999998,5.9987998010000005,2020,THA
54,Argentina,0.520840347,0.070100471,0.849773705,1.028465629,0.06041505900000001,1.3725436930000001,5.974699974,2020,ARG
55,Honduras,0.568148077,0.256528199,0.791989982,0.598763585,0.086807102,1.186664104,5.953199862999999,2020,HND
56,Latvia,0.329198807,0.075407945,0.7779024240000001,1.14139545,0.090391524,1.414398789,5.9499998089999995,2020,LVA
57,Ecuador,0.555234551,0.115006477,0.838837743,0.853383601,0.086753383,1.221027613,5.925199986,2020,ECU
58,Portugal,0.5898951889999999,0.053036947,0.979315281,1.168800831,0.027733466000000002,1.3395303490000001,5.9109001160000005,2020,PRT
59,Jamaica,0.553124607,0.116268493,0.7884340879999999,0.779058397,0.030147785,1.408289194,5.889800072000001,2020,JAM
60,South Korea,0.25935635,0.17030386600000003,1.0225425959999999,1.245300651,0.09459628199999999,1.133560538,5.872399807000001,2020,KOR
61,Japan,0.495465875,0.03571178,1.072881341,1.26672411,0.18143963800000001,1.332338691,5.870800018,2020,JPN
62,Peru,0.513210058,0.091611817,0.824444175,0.91854918,0.02703266,1.208405972,5.796800137000001,2020,PER
63,Serbia,0.395428419,0.15028289,0.828403294,0.9881818290000001,0.059447147,1.327448964,5.77820015,2020,SRB
64,Bolivia,0.5744645,0.13837507400000001,0.6624456639999999,0.7309763429999999,0.072942637,1.142350554,5.747499942999999,2020,BOL
65,Pakistan,0.405421734,0.22870506300000001,0.46993324200000003,0.616799474,0.122592121,0.872979581,5.69329977,2020,PAK
66,Paraguay,0.586510062,0.20429924100000002,0.7358696459999999,0.897990823,0.065077379,1.36819756,5.6921000479999995,2020,PRY
67,Dominican Republic,0.5628739,0.112196781,0.7419016959999999,0.9831918479999999,0.115945682,1.328888893,5.6891999239999995,2020,DOM
68,Bosnia and Herzegovina,0.305365741,0.264005244,0.813928187,0.91839546,0.001172487,1.203986526,5.674099922000001,2020,BIH
69,Moldova,0.38957148799999997,0.174049184,0.713299453,0.7079167959999999,0.014378743999999999,1.237312198,5.607500076,2020,MDA
70,Tajikistan,0.521141171,0.182417125,0.680594802,0.474874616,0.221779913,1.218377709,5.555699825,2020,TJK
71,Montenegro,0.303223848,0.14901033,0.839028895,1.010150075,0.09843511099999999,1.265657902,5.54610014,2020,MNE
72,Russia,0.399499595,0.099041916,0.68044591,1.126999617,0.045699362,1.3786441090000001,5.546000004,2020,RUS
73,Kyrgyzstan,0.614617765,0.30137074,0.680645883,0.513180971,0.030466691,1.341036677,5.541500092000001,2020,KGZ
