,Country name,HALE 2015,HALE 2016,HALE 2017,HALE 2018,HALE 2019,HALE 2020
0,Switzerland,0.94143,0.86303,0.858131289,0.927,1.052,1.040533185
1,Iceland,0.94784,0.86733,0.833552122,0.914,1.026,1.000843406
2,Denmark,0.87464,0.79504,0.792565525,0.868,0.996,0.979332566
3,Norway,0.88521,0.79579,0.796666503,0.861,1.028,1.008071899
4,Canada,0.90563,0.8276,0.834557652,0.896,1.039,1.022501945
5,Finland,0.88911,0.81091,0.80915767,0.874,0.986,0.961271405
6,Netherlands,0.89284,0.81231,0.810696125,0.878,0.999,0.975675344
7,Sweden,0.91087,0.83121,0.830875158,0.913,1.009,0.986470461
8,New Zealand,0.90837,0.83096,0.816759706,0.876,1.026,1.008138299
9,Australia,0.93156,0.8512,0.843886793,0.91,1.036,1.022607684
10,Israel,0.91387,0.84917,0.838404,0.883,1.029,1.008052945
11,Costa Rica,0.86027,0.76146,0.759509265,0.817,0.963,0.939635336
12,Austria,0.89042,0.80565,0.815328419,0.891,1.016,1.000933528
13,Mexico,0.81444,0.71143,0.709978998,0.761,0.861,0.831601024
14,United States,0.86179,0.779,0.774286628,0.819,0.874,0.831618011
15,Brazil,0.69702,0.61415,0.616552353,0.675,0.802,0.766119063
16,Luxembourg,0.91894,0.84542,0.845089495,0.896,1.012,0.986442685
17,Ireland,0.89533,0.81455,0.809782624,0.876,0.999,0.975670695
18,Belgium,0.89667,0.81959,0.818091869,0.894,0.986,0.964901149
19,United Arab Emirates,0.80925,0.72993,0.726798236,0.67,0.825,0.787814438
20,United Kingdom,0.90943,0.80991,0.805335939,0.888,0.996,0.97570008
21,Oman,0.76276,0.714475,0.711240083,0.7725,0.9005,0.871362805
22,Venezuela,0.72052,0.61904,0.617144227,0.657,0.805,0.76702553
23,Singapore,1.02525,0.94719,0.949492395,1.008,1.141,1.137814283
24,Panama,0.79661,0.70835,0.706156135,0.759,0.91,0.878546536
25,Germany,0.89186,0.81487,0.798950732,0.861,0.987,0.972114801
26,Chile,0.85857,0.81883,0.819479704,0.808,0.92,0.889260828
27,Qatar,0.79733,0.71723,0.710098088,0.748,0.871,0.959487527
28,France,0.94579,0.83795,0.844465852,0.908,1.045,1.029714227
29,Argentina,0.78723,0.69711,0.695137084,0.744,0.881,0.849773705
30,Czech Republic,0.84483,0.76376,0.754444003,0.854,0.92,0.89456445
31,Uruguay,0.8116,0.72183,0.719216824,0.771,0.891,0.856928885
32,Colombia,0.69077,0.59659,0.595027924,0.635,0.841,0.810020149
33,Thailand,0.7385,0.64915,0.647239029,0.707,0.828,0.793855846
34,Saudi Arabia,0.72025,0.59267,0.59014833,0.633,0.795,0.759818137
35,Spain,0.95562,0.87896,0.8889606,0.965,1.062,1.051343083
36,Malta,0.88721,0.80315,0.821944237,0.884,0.999,0.972042024
37,Taiwan,0.8753,0.79565,0.727024972,0.7795,0.9035,0.874255479
38,Kuwait,0.72492,0.63569,0.632105708,0.675,0.808,0.776468933
39,Suriname,0.6082,0.50933,0.5760445,0.663,0.801666667,0.768555959
40,Trinidad and Tobago,0.61483,0.52608,0.519983292,0.651,0.795333333,0.760642986
41,El Salvador,0.67737,0.596,0.596018553,0.639,0.789,0.752730012
42,Guatemala,0.64425,0.54039,0.54023999,0.608,0.746,0.705952585
43,Uzbekistan,0.59772,0.50163,0.498272628,0.605,0.756,0.716703713
44,Slovakia,0.78902,0.70367,0.712732911,0.776,0.881,0.853465259
45,Japan,0.99111,0.91491,0.913475871,0.988,1.088,1.072881341
46,South Korea,0.96538,0.88645,0.900214076,0.955,1.036,1.022542596
47,Ecuador,0.79075,0.68613,0.685636222,0.736,0.868,0.838837743
48,Bahrain,0.74716,0.65696,0.653133035,0.698,0.871,0.838836372
49,Italy,0.95446,0.85102,0.853144348,0.946,1.039,1.022504926
50,Bolivia,0.5392,0.4697,0.47363025,0.508,0.706,0.662445664
51,Moldova,0.61826,0.52309,0.589465201,0.62,0.739,0.713299453
52,Paraguay,0.66098,0.58295,0.579250693,0.615,0.777,0.735869646
53,Kazakhstan,0.64368,0.57386,0.606041551,0.631,0.729,0.698788941
54,Slovenia,0.87337,0.79151,0.790828228,0.856,0.953,0.932548046
55,Lithuania,0.73128,0.64674,0.62894994,0.716,0.818,0.795421183
56,Nicaragua,0.74314,0.65213,0.653095961,0.7,0.835,0.803093255
57,Peru,0.73017,0.62994,0.630166113,0.674,0.854,0.824444175
58,Belarus,0.73608,0.63104,0.637714267,0.7,0.789,0.75258857
59,Poland,0.77903,0.69058,0.699475348,0.781,0.884,0.868038476
60,Malaysia,0.72394,0.62366,0.618784428,0.669,0.828,0.788511872
61,Croatia,0.78805,0.70524,0.701288521,0.737,0.914,0.900575578
62,Libya,0.7038,0.52304,0.52016902,0.553,0.673,0.615626633
63,Russia,0.66926,0.58991,0.547349334,0.599,0.726,0.68044591
64,Jamaica,0.68741,0.59469,0.641022384,0.693,0.831,0.788434088
65,North Cyprus,0.92356,0.84142,0.834647238,0.801,0.9365,0.907279343
66,Cyprus,0.92356,0.8488,0.844714701,0.909,1.042,1.026124597
67,Algeria,0.61766,0.61804,0.617584646,0.687,0.785,0.745418549
68,Kosovo,0.63132,0.54,0.54145205,0.578,0.758,0.672709167
69,Turkmenistan,0.53886,0.44006,0.43772608,0.517,0.657,0.612448037
70,Mauritius,0.7095,0.66189,0.638007462,0.684,0.798,0.763389409
71,Hong Kong,1.01328,0.95277,0.666587889,0.7105,0.836,0.803002209
72,Estonia,0.77361,0.68098,0.695168316,0.737,0.874,0.842615008
73,Indonesia,0.63793,0.49374,0.492345721,0.522,0.66,0.610437036
