,Country name,Score,year,CODE
0,Finland,7.808700085,2020,FIN
1,Denmark,7.645599842,2020,DNK
2,Switzerland,7.559899807000001,2020,CHE
3,Iceland,7.504499912000001,2020,ISL
4,Norway,7.487999916000001,2020,NOR
5,Netherlands,7.448900223,2020,NLD
6,Sweden,7.353499889,2020,SWE
7,New Zealand,7.2996001239999995,2020,NZL
8,Austria,7.294199944,2020,AUT
9,Luxembourg,7.2375001910000005,2020,LUX
10,Canada,7.23210001,2020,CAN
11,Australia,7.222799778,2020,AUS
12,United Kingdom,7.164500237,2020,GBR
13,Israel,7.128600121,2020,ISR
14,Costa Rica,7.121399879,2020,CRI
15,Ireland,7.093699932000001,2020,IRL
16,Germany,7.075799942000001,2020,DEU
17,United States,6.939599991000001,2020,USA
18,Czech Republic,6.9109001160000005,2020,CZE
19,Belgium,6.863500117999999,2020,BEL
20,United Arab Emirates,6.790800095,2020,ARE
21,Malta,6.772799968999999,2020,MLT
22,France,6.663799762999999,2020,FRA
23,Mexico,6.465000152999999,2020,MEX
24,Taiwan Province of China,6.45539999,2020,TWN
25,Uruguay,6.440100192999999,2020,URY
26,Saudi Arabia,6.406499863,2020,SAU
27,Spain,6.4008998870000005,2020,ESP
28,Guatemala,6.398900032,2020,GTM
29,Italy,6.38740015,2020,ITA
30,Singapore,6.377099991000001,2020,SGP
31,Brazil,6.375599861,2020,BRA
32,Slovenia,6.363399982000001,2020,SVN
33,El Salvador,6.34829998,2020,SLV
34,Kosovo,6.325200081,2020,XKX
35,Panama,6.304800033999999,2020,PAN
36,Slovakia,6.280600071,2020,SVK
37,Uzbekistan,6.257599831,2020,UZB
38,Chile,6.228499889,2020,CHL
39,Bahrain,6.227300167,2020,BHR
40,Lithuania,6.215499877999999,2020,LTU
41,Trinidad and Tobago,6.1918997760000005,2020,TTO
42,Poland,6.1862998010000005,2020,POL
43,Colombia,6.163400172999999,2020,COL
44,Cyprus,6.15899992,2020,CYP
45,Nicaragua,6.13710022,2020,NIC
46,Romania,6.123700142000001,2020,ROU
47,Kuwait,6.102099895,2020,KWT
48,Mauritius,6.101299762999999,2020,MUS
49,Kazakhstan,6.0578999520000005,2020,KAZ
50,Estonia,6.0218000410000005,2020,EST
51,Philippines,6.006000042,2020,PHL
52,Hungary,6.000400066,2020,HUN
53,Thailand,5.9987998010000005,2020,THA
54,Argentina,5.974699974,2020,ARG
55,Honduras,5.953199862999999,2020,HND
56,Latvia,5.9499998089999995,2020,LVA
