,Country name,Social support 2015,Social support 2016,Social support 2017,Social support 2018,Social support 2019,Social Support 2020
0,Switzerland,1.34951,1.14524,1.516911745,1.549,1.526,1.472403407
1,Iceland,1.40223,1.18326,1.610574007,1.644,1.624,1.547567487
2,Denmark,1.36058,1.16374,1.551121593,1.59,1.573,1.503449202
3,Norway,1.33095,1.1269,1.53352356,1.582,1.582,1.495172501
4,Canada,1.32261,1.0961,1.481348991,1.532,1.505,1.435391903
5,Finland,1.31826,1.13464,1.540246725,1.592,1.587,1.499525905
6,Netherlands,1.28017,1.02912,1.428939223,1.488,1.522,1.463645935
7,Sweden,1.28907,1.08764,1.478162169,1.501,1.487,1.433347702
8,New Zealand,1.31967,1.17278,1.548195124,1.601,1.557,1.48721838
9,Australia,1.30923,1.10476,1.510041952,1.573,1.548,1.477146268
10,Israel,1.22393,0.99537,1.376289964,1.559,1.455,1.403256774
11,Costa Rica,1.23788,1.02152,1.416403651,1.459,1.441,1.374853611
12,Austria,1.29704,1.08383,1.459944963,1.504,1.475,1.437444925
13,Mexico,0.91451,0.7146,1.21086216,1.252,1.323,1.226333499
14,United States,1.24711,1.04782,1.419920564,1.471,1.457,1.404786706
15,Brazil,1.23287,1.03938,1.431306005,1.474,1.439,1.363464117
16,Luxembourg,1.21963,1.03999,1.457583666,1.52,1.479,1.387528419
17,Ireland,1.36948,1.16157,1.558231115,1.583,1.553,1.470596433
18,Belgium,1.28566,1.05249,1.462312698,1.483,1.504,1.398677588
19,United Arab Emirates,1.12575,0.87114,1.266410232,0.776,1.31,1.251170993
20,United Kingdom,1.28548,1.08672,1.49646008,1.433,1.538,1.457844973
21,Oman,1.08182,1.05987,1.463898838,1.451,1.4825,1.403195918
22,Venezuela,1.25596,1.03302,1.431337595,1.469,1.427,1.348546863
23,Singapore,1.02,0.86758,1.353814363,1.451,1.463,1.39545691
24,Panama,1.1985,0.98912,1.373192549,1.438,1.442,1.376149297
25,Germany,1.29937,1.09774,1.472520351,1.474,1.454,1.368543744
26,Chile,1.12447,0.90587,1.284024954,1.331,1.369,1.323286891
27,Qatar,1.0786,0.87964,1.27429688,1.303,1.313,1.391063035
28,France,1.26038,1.00508,1.387776852,1.466,1.472,1.458839178
29,Argentina,1.24823,1.06612,1.440451145,1.468,1.432,1.372543693
30,Czech Republic,1.20643,1.00793,1.433885217,1.489,1.487,1.40528667
31,Uruguay,1.2089,1.03143,1.412227869,1.459,1.465,1.425081134
32,Colombia,1.24018,1.02169,1.402182937,1.439,1.41,1.33445096
33,Thailand,1.26504,1.04477,1.425792456,1.417,1.409,1.347519517
34,Saudi Arabia,1.08393,0.84829,1.286677599,1.331,1.357,1.309950113
35,Spain,1.31379,1.12945,1.532090902,1.538,1.484,1.421099186
36,Malta,1.30203,1.09879,1.488411665,1.525,1.52,1.442956924
37,Taiwan,1.07617,0.92624,1.374055207,1.413,1.4195,1.343868375
38,Kuwait,1.16594,0.87758,1.259698749,1.301,1.319,1.244779825
39,Suriname,0.972,0.77866,1.319963634,1.277666667,1.293333333,1.212985754
40,Trinidad and Tobago,1.18354,0.98569,1.380228519,1.254333333,1.267666667,1.181191683
41,El Salvador,1.02507,0.80975,1.182125092,1.231,1.242,1.149397612
