,Country name,Perceptions of corruption 2015,Perceptions of corruption 2016,Perceptions of corruption 2017,Perceptions of corruption 2018,Perceptions of corruption 2019,Perceptions of corruption 2020
0,Switzerland,0.41978000000000004,0.41203,0.36700728535652205,0.35700000000000004,0.34299999999999997,0.407945901
1,Iceland,0.14145,0.14975,0.15352655947208402,0.138,0.11800000000000001,0.14454077199999998
2,Denmark,0.48357,0.44453000000000004,0.40077006816863997,0.408,0.41,0.49526032799999997
3,Norway,0.36503,0.35775999999999997,0.31596383452415505,0.34,0.341,0.43410056799999996
4,Canada,0.32957,0.31329,0.287371516227722,0.29100000000000004,0.308,0.35170185600000003
5,Finland,0.41372,0.41003999999999996,0.38261154294014,0.39299999999999996,0.39299999999999996,0.477857262
6,Netherlands,0.31814000000000003,0.29927,0.282661825418472,0.295,0.298,0.368569762
7,Sweden,0.43843999999999994,0.40867,0.384398728609085,0.38299999999999995,0.373,0.442066371
8,New Zealand,0.42922,0.41903999999999997,0.38281670212745705,0.389,0.38,0.46126827600000003
9,Australia,0.35636999999999996,0.32331,0.301183730363846,0.302,0.29,0.335996419
10,Israel,0.07785,0.08728,0.0852421000599861,0.272,0.08199999999999999,0.09989845
11,Costa Rica,0.10583,0.10547000000000001,0.100106589496136,0.10099999999999999,0.09300000000000001,0.096362092
12,Austria,0.18675999999999998,0.21348000000000003,0.22106036543846105,0.22399999999999998,0.226,0.28125613899999996
13,Mexico,0.21311999999999998,0.18355,0.132774114608765,0.095,0.073,0.083133668
14,United States,0.1589,0.14868,0.135638788342476,0.133,0.128,0.152284741
15,Brazil,0.17521,0.14165999999999998,0.11109276115894301,0.08800000000000001,0.086,0.106518604
16,Luxembourg,0.37798000000000004,0.35329,0.31883442401886,0.321,0.316,0.367041469
17,Ireland,0.28703,0.29754,0.29838815331459007,0.306,0.31,0.37343326200000004
18,Belgium,0.2254,0.26248,0.251343131065369,0.24,0.21,0.208724052
19,United Arab Emirates,0.38583,0.35561,0.324489563703537,0.16099999999999998,0.182,0.220213518
20,United Kingdom,0.32066999999999996,0.27399,0.265428066253662,0.08199999999999999,0.278,0.322601646
21,Oman,0.32524000000000003,0.178515,0.16495959460735315,0.067,0.1625,0.19311321150000002
22,Venezuela,0.11069000000000001,0.08304,0.0644911229610443,0.052000000000000005,0.047,0.06362477700000001
23,Singapore,0.4921,0.46986999999999995,0.46430778503417997,0.457,0.45299999999999996,0.533162236
24,Panama,0.0927,0.08423,0.070983923971653,0.063,0.054000000000000006,0.054230525999999994
25,Germany,0.21843,0.28551,0.276731938123703,0.28,0.265,0.309362292
26,Chile,0.12869,0.11450999999999999,0.0822879821062088,0.061,0.055999999999999994,0.06284935
27,Qatar,0.52208,0.48049,0.43929925560951205,0.171,0.16699999999999998,0.1450762935
28,France,0.20646,0.17808,0.172502428293228,0.17600000000000002,0.183,0.227303237
29,Argentina,0.08484,0.07296,0.05973988771438599,0.054000000000000006,0.05,0.06041505900000001
30,Czech Republic,0.02652,0.03986,0.0368729270994663,0.034,0.036000000000000004,0.049803223
31,Uruguay,0.24558000000000002,0.21394000000000002,0.17806187272071802,0.155,0.15,0.19342507399999997
32,Colombia,0.0512,0.053989999999999996,0.0466687418520451,0.039,0.034,0.04584837
33,Thailand,0.031869999999999996,0.02833,0.0316127352416515,0.028999999999999998,0.027999999999999997,0.031837862
34,Saudi Arabia,0.32524000000000003,0.30008,0.27343225479126004,0.127,0.132,0.163322315
35,Spain,0.06398,0.06137000000000001,0.0709140971302986,0.07400000000000001,0.079,0.109579779
36,Malta,0.13585999999999998,0.17554,0.153066068887711,0.142,0.151,0.17886407699999998
37,Taiwan,0.08129,0.0663,0.184112809598446,0.124,0.124,0.14583950499999998
38,Kuwait,0.25609,0.23669,0.21515955030918102,0.106,0.09699999999999999,0.112814933
39,Suriname,0.13633,0.12692,0.1120621832087635,0.09799999999999999,0.08933333333333333,0.11422007266666667
40,Trinidad and Tobago,0.0114,0.01241,0.00896481610834599,0.09,0.08166666666666667,0.11562521233333332
41,El Salvador,0.11775999999999999,0.10613,0.0899809598922729,0.08199999999999999,0.07400000000000001,0.11703035199999999
42,Guatemala,0.09472,0.08701,0.0772232785820961,0.071,0.078,0.09836030000000001
43,Uzbekistan,0.30826,0.28333,0.246528223156929,0.259,0.24,0.280260265
44,Slovakia,0.03431,0.02947,0.0242108516395092,0.013999999999999999,0.013999999999999999,0.011291441000000001
45,Japan,0.1806,0.18985,0.163760736584663,0.15,0.14,0.18143963800000001
46,South Korea,0.07857,0.07716,0.0632826685905457,0.051,0.055999999999999994,0.09459628199999999
47,Ecuador,0.1809,0.18037,0.140134647488594,0.12,0.087,0.086753383
48,Bahrain,0.306,0.25772,0.257042169570923,0.12300000000000001,0.11,0.12669725699999998
49,Italy,0.02901,0.02556,0.0280280914157629,0.027999999999999997,0.03,0.040145598
50,Bolivia,0.08800000000000001,0.07746,0.0604777261614799,0.054000000000000006,0.064,0.072942637
51,Moldova,0.01615,0.019030000000000002,0.0100912861526012,0.0,0.0,0.014378743999999999
52,Paraguay,0.08242000000000001,0.07396,0.091065913438797,0.07400000000000001,0.08,0.065077379
53,Kazakhstan,0.08454,0.11132,0.11928288638591802,0.121,0.096,0.11046368599999999
54,Slovenia,0.03787,0.03635,0.0451289787888527,0.051,0.057,0.076516323
55,Lithuania,0.01031,0.0182,0.0118656428530812,0.006,0.042,0.081350274
56,Nicaragua,0.19317,0.16292,0.130687981843948,0.128,0.127,0.174084574
57,Peru,0.05989,0.05292,0.0470490865409374,0.034,0.027000000000000003,0.02703266
58,Belarus,0.1909,0.17457,0.156313821673393,0.154,0.142,0.193607435
59,Poland,0.04212,0.055,0.0593078061938286,0.064,0.05,0.160541251
60,Malaysia,0.10500999999999999,0.09081,0.0656007081270218,0.059000000000000004,0.024,0.062163132999999995
61,Croatia,0.0243,0.04002,0.0431031100451946,0.039,0.022000000000000002,0.012325006000000001
62,Libya,0.11023,0.10339000000000001,0.0926102101802826,0.14800000000000002,0.152,0.17225807899999998
