,Country name,Score,year,Unnamed: 0
0,Finland,7.842,2021,
1,Denmark,7.62,2021,
2,Switzerland,7.571,2021,
3,Iceland,7.554,2021,
4,Netherlands,7.464,2021,
5,Norway,7.392,2021,
6,Sweden,7.363,2021,
7,Luxembourg,7.324,2021,
8,New Zealand,7.277,2021,
9,Austria,7.268,2021,
10,Australia,7.183,2021,
11,Israel,7.157,2021,
12,Germany,7.155,2021,
13,Canada,7.103,2021,
14,Ireland,7.085,2021,
15,Costa Rica,7.069,2021,
16,United Kingdom,7.064,2021,
17,Czech Republic,6.965,2021,
18,United States,6.951,2021,
19,Belgium,6.834,2021,
20,France,6.69,2021,
21,Bahrain,6.647,2021,
22,Malta,6.602,2021,
23,Taiwan Province of China,6.584,2021,
24,United Arab Emirates,6.561,2021,
25,Saudi Arabia,6.494,2021,
26,Spain,6.491,2021,
27,Italy,6.483,2021,
28,Slovenia,6.461,2021,
29,Guatemala,6.435,2021,
30,Uruguay,6.431,2021,
31,Singapore,6.377,2021,
32,Kosovo,6.372,2021,
33,Slovakia,6.331,2021,
34,Brazil,6.33,2021,
35,Mexico,6.317,2021,
36,Jamaica,6.309,2021,
37,Lithuania,6.255,2021,
38,Cyprus,6.223,2021,
39,Estonia,6.189,2021,
40,Panama,6.18,2021,
41,Uzbekistan,6.179,2021,
42,Chile,6.172,2021,
43,Poland,6.166,2021,
44,Kazakhstan,6.152,2021,
45,Romania,6.14,2021,
46,Kuwait,6.106,2021,
47,Serbia,6.078,2021,
48,El Salvador,6.061,2021,
49,Mauritius,6.049,2021,
50,Latvia,6.032,2021,
51,Colombia,6.012,2021,
52,Hungary,5.992,2021,
53,Thailand,5.985,2021,
54,Nicaragua,5.972,2021,
55,Japan,5.94,2021,
56,Argentina,5.929,2021,
57,Portugal,5.929,2021,
58,Honduras,5.919,2021,
59,Croatia,5.882,2021,
60,Philippines,5.88,2021,
61,South Korea,5.845,2021,
62,Peru,5.84,2021,
63,Bosnia and Herzegovina,5.813,2021,
64,Moldova,5.766,2021,
65,Ecuador,5.764,2021,
66,Kyrgyzstan,5.744,2021,
67,Greece,5.723,2021,
68,Bolivia,5.716,2021,
69,Mongolia,5.677,2021,
70,Paraguay,5.653,2021,
71,Montenegro,5.581,2021,
72,Dominican Republic,5.545,2021,
73,North Cyprus,5.536,2021,
74,Belarus,5.534,2021,
75,Russia,5.477,2021,
76,Hong Kong S.A.R. of China,5.477,2021,
77,Tajikistan,5.466,2021,
78,Vietnam,5.411,2021,
79,Libya,5.41,2021,
80,Malaysia,5.384,2021,
81,Indonesia,5.345,2021,
82,Congo (Brazzaville),5.342,2021,
83,China,5.339,2021,
84,Ivory Coast,5.306,2021,
85,Armenia,5.283,2021,
86,Nepal,5.269,2021,
87,Bulgaria,5.266,2021,
88,Maldives,5.198,2021,
89,Azerbaijan,5.171,2021,
90,Cameroon,5.142,2021,
91,Senegal,5.132,2021,
92,Albania,5.117,2021,
93,North Macedonia,5.101,2021,
94,Ghana,5.088,2021,
95,Niger,5.074,2021,
96,Turkmenistan,5.066,2021,
97,Gambia,5.051,2021,
98,Benin,5.045,2021,
99,Laos,5.03,2021,
100,Bangladesh,5.025,2021,
101,Guinea,4.984,2021,
102,South Africa,4.956,2021,
103,Turkey,4.948,2021,
104,Pakistan,4.934,2021,
105,Morocco,4.918,2021,
106,Venezuela,4.892,2021,
107,Georgia,4.891,2021,
108,Algeria,4.887,2021,
